base_score,[481.89004447]
RevolvingUtilizationOfUnsecuredLines,score
"(-inf, 0.0603]",52.129274416353674
"(0.0603, 0.221]",22.99283598670235
"(0.221, 0.55]",-2.4901909449646187
"(0.55, 0.984]",-25.24098183873281
"(0.984, 1.0]",-10.240403639318673
"(1.0, inf]",-44.34816961307159
age,score
"(-inf, 36.0]",-4.1250147495810365
"(36.0, 52.0]",-2.357390549133181
"(52.0, 61.0]",1.3076313031770361
"(61.0, 74.0]",7.763257755420213
"(74.0, inf]",13.59580332120309
DebtRatio,score
"(-inf, 0.0163]",32.087959478294
"(0.0163, 0.504]",-0.07992116171139871
"(0.504, 1.487]",-10.877154944905845
"(1.487, inf]",3.98386453077962
MonthlyIncome,score
"(-inf, 764.0]",0.6960092976940502
"(764.0, 6833.0]",-0.7414708329238546
"(6833.0, inf]",1.08082803519312
NumberOfOpenCreditLinesAndLoans,score
"(-inf, 1.0]",-7.705416097194613
"(1.0, 3.0]",-3.0105044667518626
"(3.0, 5.0]",-0.4605909261852975
"(5.0, 17.0]",1.1649688033642527
"(17.0, inf]",3.988259007501043
NumberOfTime30-59DaysPastDueNotWorse,score
"(-inf, 0.0]",5.409407164390429
"(0.0, 1.0]",-13.408663939212202
"(1.0, 2.0]",-21.381764626720997
"(2.0, inf]",-23.37954964101033
NumberOfTimes90DaysLate,score
"(-inf, 0.0]",3.900976595218434
"(0.0, 1.0]",-29.034881594528372
"(1.0, 2.0]",-36.52935838680654
"(2.0, inf]",-39.22293912309934
NumberRealEstateLoansOrLines,score
"(-inf, 0.0]",-11.231336412192856
"(0.0, 1.0]",5.638889794801004
"(1.0, 2.0]",17.75611087847096
"(2.0, 4.0]",10.914311167548053
"(4.0, inf]",-9.023228770180115
NumberOfTime60-89DaysPastDueNotWorse,score
"(-inf, 0.0]",1.0179916191165563
"(0.0, 1.0]",-11.32369201696846
"(1.0, 2.0]",-14.276704323041598
"(2.0, inf]",-14.574822340871037
NumberOfDependents,score
"(-inf, 0.0]",15.504954837004584
"(0.0, 1.0]",-12.046541856302431
"(1.0, 2.0]",-12.870605272208785
"(2.0, inf]",-11.120439097712051
