,City,Latitude,Longitude,Latitudedir,Longitudedir
0,Brisbane,27.4705°,153.0260°,"S,",E
1,Perth,31.9514°,115.8617°,"S,",E
2,MelbourneAirport,37.6699°,144.8403°,"S,",E
3,Townsville,19.2599°,146.8137°,"S,",E
4,Canberra,35.2802°,149.1310°,"S,",E
5,Albany,35.0268°,117.8837°,"S,",E
6,Adelaide,34.9285°,138.6007°,"S,",E
7,Launceston,41.4391°,147.1358°,"S,",E
8,Penrith,33.7507°,150.6877°,"S,",E
9,Bendigo,36.7596°,144.2786°,"S,",E
10,Hobart,42.8826°,147.3257°,"S,",E
11,Cairns,16.9203°,145.7710°,"S,",E
12,MountGinini,35.5294°,148.7723°,"S,",E
13,PerthAirport,31.9385°,115.9672°,"S,",E
14,Sydney,33.8727°,151.2057°,"S,",E
15,Witchcliffe,34.0262°,115.1002°,"S,",E
16,Dartmoor,37.9224°,141.2754°,"S,",E
17,Wollongong,34.4248°,150.8931°,"S,",E
18,Cobar,31.4978°,145.8363°,"S,",E
19,Albury,36.0751°,146.9095°,"S,",E
20,Richmond,37.8239°,144.9983°,"S,",E
21,Nuriootpa,34.4730°,138.9957°,"S,",E
22,Tuggeranong,35.4180°,149.0694°,"S,",E
23,CoffsHarbour,30.2962°,153.1139°,"S,",E
24,Ballarat,37.5622°,143.8503°,"S,",E
25,PearceRAAF,31.6676°,116.0292°,"S,",E
26,Watsonia,37.7101°,145.0828°,"S,",E
27,Moree,29.4653°,149.8416°,"S,",E
28,Newcastle,32.9283°,151.7817°,"S,",E
29,AliceSprings,23.6980°,133.8807°,"S,",E
30,Mildura,34.2068°,142.1367°,"S,",E
31,GoldCoast,27.9769°,153.3809°,"S,",E
32,SalmonGums,32.9804°,121.6456°,"S,",E
33,Sale,38.1051°,147.0680°,"S,",E
34,Portland,38.3421°,141.6012°,"S,",E
35,Darwin,12.4637°,130.8444°,"S,",E
36,Woomera,31.1988°,136.8251°,"S,",E
37,Walpole,34.9762°,116.7313°,"S,",E
38,Melbourne,37.8136°,144.9631°,"S,",E
39,Williamtown,32.8115°,151.8443°,"S,",E
40,SydneyAirport,33.9500°,151.1817°,"S,",E
41,NorahHead,33.2822°,151.5669°,"S,",E
42,BadgerysCreek,33.8751°,150.7634°,"S,",E
43,Nhil,36.3328°,141.6503°,"S,",E
44,Katherine,14.4520°,132.2699°,"S,",E
45,Uluru,25.3444°,131.0369°,"S,",E
46,MountGambier,37.8284°,140.7807°,"S,",E
47,WaggaWagga,35.1026°,147.3655°,"S,",E
48,NorfolkIsland,29.0328°,167.9483°,"S,",E
